file,open_time,close_time,side,pnl,strategy,magic,aligned_hits,aligned_same_dir
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-08 19:40:00+00:00,2009-10-08 20:44:00+00:00,sell,113.95257527150268,RSI_X,3301,0,0
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-08 20:08:00+00:00,2009-10-08 20:44:00+00:00,sell,63.16563310456786,EMA_X,3201,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-08 20:10:00+00:00,2009-10-08 20:43:00+00:00,sell,49.20459009391422,SMA_CROSS,2001,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-08 23:38:00+00:00,2009-10-09 02:30:00+00:00,sell,57.62099070349049,RSI_X,3301,0,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-09 06:21:00+00:00,2009-10-09 08:08:00+00:00,buy,36.91633578579613,SMA_CROSS,2001,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-09 07:13:00+00:00,2009-10-09 08:19:00+00:00,buy,22.628551056907703,RSI_X,3301,0,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-09 09:44:00+00:00,2009-10-09 10:08:00+00:00,sell,59.77587336869145,RSI_X,3301,0,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-09 10:33:00+00:00,2009-10-09 11:34:00+00:00,sell,27.50299059685649,RSI_X,3301,2,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-09 11:36:00+00:00,2009-10-09 12:57:00+00:00,buy,35.90810640152378,SMA_CROSS,2001,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-09 11:38:00+00:00,2009-10-09 13:00:00+00:00,buy,29.78963246454298,EMA_X,3201,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-09 14:46:00+00:00,2009-10-09 16:16:00+00:00,sell,135.1946603915683,EMA_X,3201,2,2
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-09 15:08:00+00:00,2009-10-09 15:37:00+00:00,sell,29.005015936744982,SMA_CROSS,2001,1,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-09 16:47:00+00:00,2009-10-09 17:17:00+00:00,buy,49.59533860135201,SMA_CROSS,2001,2,2
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-09 19:32:00+00:00,2009-10-09 20:46:00+00:00,buy,84.72434757088008,RSI_X,3301,2,2
